color,fuelTypeId,fuelType,id,km,make,makeId,model,modelId,price,province,provinceId,title,transmissionType,transmissionTypeId,year,seller_type,bodyType,cubicCapacity,doors,hp,url,publicationDate,fecha
WHITE,1,Diésel,54819026,175600,AUDI,4,A4,7,15500,León,24,AUDI A4 Avant 2.0 TDI 150cv 5p,MANUAL,2,2014,particular,Familiar,1968,5,150,https://www.coches.net/audi-a4-avant-20-tdi-150cv-5p-diesel-2014-en-leon-54819026-covo.aspx,2023-04-09T060558+0200,2023-04-09T153719+0200
WHITE,1,Diésel,54494743,21372,AUDI,4,Q3,999,35990,Madrid,28,AUDI Q3 Advanced 35 TDI 110kW 150CV S tronic,AUTOMATIC,1,2020,profesional,4x4 SUV,1968,5,150,https://www.coches.net/audi-q3-35-tdi-110kw-150cv-s-tronic-5p-diesel-2020-en-madrid-54494743-covo.aspx,2023-04-08T183045+0200,2023-04-09T153728+0200
BLACK,4,Híbrido,52389190,102500,AUDI,4,A6,27,35000,Pontevedra,36,AUDI A6 Sport 40 TDI 150kW 204CV S tronic 4p,AUTOMATIC,1,2019,profesional,Berlina,1968,4,204,https://www.coches.net/audi-a6-sport-40-tdi-150kw-204cv-s-tronic-4p-electrico-hibrido-2019-en-pontevedra-52389190-covo.aspx,2023-04-08T182745+0200,2023-04-09T153744+0200
BLUE,1,Diésel,54741867,155000,AUDI,4,A3,345,17850,Madrid,28,AUDI A3 2.0 TDI 110kW 150CV S tronic Sportback 5p,AUTOMATIC,1,2017,particular,Berlina,1968,5,150,https://www.coches.net/audi-a3-20-tdi-110kw-150cv-s-tronic-sportback-5p-diesel-2017-en-madrid-54741867-covo.aspx,2023-04-09T062737+0200,2023-04-09T153755+0200
WHITE,2,Gasolina,54299215,69844,AUDI,4,A3,345,31900,Baleares,7,AUDI A3 Cabrio S line 35 TFSI 110kW S tronic 2p,AUTOMATIC,1,2019,profesional,Cabrio,1498,2,150,https://www.coches.net/audi-a3-cabrio-s-line-35-tfsi-110kw-s-tronic-2p-gasolina-2019-en-baleares-54299215-covo.aspx,2023-04-09T141140+0200,2023-04-09T153804+0200
BLACK,2,Gasolina,54330997,94000,AUDI,4,A3,345,22990,Málaga,29,AUDI A3 S line 30 TFSI 85kW 116CV Sportback 5p,MANUAL,2,2018,profesional,Berlina,999,5,116,https://www.coches.net/audi-a3-s-line-30-tfsi-85kw-116cv-sportback-5p-gasolina-2019-en-malaga-54330997-covo.aspx,2023-04-08T182045+0200,2023-04-09T153815+0200
RED,1,Diésel,54569414,115308,AUDI,4,A4,7,25200,Barcelona,8,AUDI A4 Avant Advanced 40 TDI 140kW S tronic 5p,MANUAL,2,2019,profesional,Familiar,1968,5,190,https://www.coches.net/audi-a4-avant-advanced-40-tdi-140kw-s-tronic-5p-diesel-2019-en-barcelona-54569414-covo.aspx,2023-04-08T181948+0200,2023-04-09T153825+0200
GRAY,1,Diésel,54783558,82000,AUDI,4,A3,345,30990,Granada,18,AUDI A3 Sedan 2.0 TDI clean 184 quat S tr S line,AUTOMATIC,1,2016,profesional,Berlina,1968,4,184,https://www.coches.net/audi-a3-sedan-20-tdi-clean-184-quat-s-tr-s-line-diesel-2016-en-granada-54783558-covo.aspx,2023-04-08T181845+0200,2023-04-09T153833+0200
WHITE,1,Diésel,54819037,91000,AUDI,4,A4,7,19499,Jaén,23,AUDI A4 2.0 TDI 110kW 150CV 4p,MANUAL,2,2018,particular,Berlina,1968,4,150,https://www.coches.net/audi-a4-20-tdi-110kw-150cv-4p-diesel-2018-en-jaen-54819037-covo.aspx,2023-04-08T181747+0200,2023-04-09T153845+0200
GRAY,2,Gasolina,54795897,14998,AUDI,4,Q2,1199,35100,Madrid,28,AUDI Q2 S line 35 TFSI 110kW 150CV S tronic 5p,AUTOMATIC,1,2022,profesional,4x4 SUV,1498,5,150,https://www.coches.net/audi-q2-s-line-35-tfsi-110kw-150cv-s-tronic-5p-gasolina-2022-en-madrid-54795897-covo.aspx,2023-04-08T181546+0200,2023-04-09T153856+0200
