,fuelType,fuelTypeId,color,id,km,make,makeId,model,modelId,province,provinceId,price,title,transmissionType,transmissionTypeId,year,seller_type,seller_type_id,body_types,body_types_id,cubicCapacity,doors,hp,url,date
1760,Gasolina,2.0,COMMON.COLOR_RED,54779861.0,61642.0,MAZDA,27.0,CX5,1016.0,Barcelona,8.0,22699.0,MAZDA CX5 2.0 G 121kW 165CV 2WD Zenith 5p.,COMMON.TRANSMISSION_MANUAL,2.0,2019.0,profesional,1.0,4x4 suv,6.0,1998.0,5.0,165.0,https://www.coches.net/mazda-cx5-20-g-121kw-165cv-2wd-zenith-5p-gasolina-2019-en-barcelona-54779861-covo.aspx,2023-04-12 20:12:46
1761,Gasolina,2.0,COMMON.COLOR_BLACK,54779537.0,93527.0,MAZDA,27.0,CX3,1140.0,Alicante,3.0,17900.0,MAZDA CX3 2.0 SKYACTIV GE Luxury 2WD AT 5p.,COMMON.TRANSMISSION_AUTOMATIC,1.0,2017.0,profesional,1.0,4x4 suv,6.0,1998.0,5.0,120.0,https://www.coches.net/mazda-cx3-20-skyactiv-ge-luxury-2wd-at-5p-gasolina-2018-en-alicante-54779537-covo.aspx,2023-04-12 20:12:48
1762,Diésel,1.0,COMMON.COLOR_GRAY,54779534.0,60819.0,MAZDA,27.0,CX3,1140.0,Barcelona,8.0,17299.0,MAZDA CX3 1.8 D 85kW 115CV 2WD Evolution 5p.,COMMON.TRANSMISSION_MANUAL,2.0,2019.0,profesional,1.0,4x4 suv,6.0,1759.0,5.0,115.0,https://www.coches.net/mazda-cx3-18-d-85kw-115cv-2wd-evolution-5p-diesel-2019-en-barcelona-54779534-covo.aspx,2023-04-12 20:12:50
1763,Gasolina,2.0,COMMON.COLOR_WHITE,54543516.0,114700.0,MAZDA,27.0,MX5,237.0,Málaga,29.0,21890.0,MAZDA MX5 1.5 97kW 132CV Zenith ST 2p.,COMMON.TRANSMISSION_MANUAL,2.0,2019.0,profesional,1.0,cabrio,3.0,1496.0,2.0,132.0,https://www.coches.net/mazda-mx5-15-97kw-132cv-zenith-st-2p-gasolina-2019-en-malaga-54543516-covo.aspx,2023-04-12 20:12:53
1764,Gasolina,2.0,COMMON.COLOR_RED,54779370.0,42000.0,MAZDA,27.0,CX3,1140.0,Madrid,28.0,18890.0,MAZDA CX3 2.0 G 89kW 121CV 2WD Zenith 5p.,COMMON.TRANSMISSION_MANUAL,2.0,2019.0,profesional,1.0,4x4 suv,6.0,1998.0,5.0,121.0,https://www.coches.net/mazda-cx3-20-g-89kw-121cv-2wd-zenith-5p-gasolina-2019-en-madrid-54779370-covo.aspx,2023-04-12 20:12:55
1765,Gasolina,2.0,COMMON.COLOR_BLACK,54779229.0,99000.0,MAZDA,27.0,MX5,237.0,Sevilla,41.0,21890.0,MAZDA MX5 1.5 97kW 132CV Nappa Edition ST 2p.,COMMON.TRANSMISSION_MANUAL,2.0,2019.0,profesional,1.0,cabrio,3.0,1496.0,2.0,132.0,https://www.coches.net/mazda-mx5-15-97kw-132cv-nappa-edition-st-2p-gasolina-2019-en-sevilla-54779229-covo.aspx,2023-04-12 20:12:56
1766,Gasolina,2.0,COMMON.COLOR_BLACK,54779179.0,99000.0,MAZDA,27.0,MX5,237.0,Madrid,28.0,21890.0,MAZDA MX5 1.5 97kW 132CV Nappa Edition ST 2p.,COMMON.TRANSMISSION_MANUAL,2.0,2019.0,profesional,1.0,cabrio,3.0,1496.0,2.0,132.0,https://www.coches.net/mazda-mx5-15-97kw-132cv-nappa-edition-st-2p-gasolina-2019-en-madrid-54779179-covo.aspx,2023-04-12 20:12:58
1767,Gasolina,2.0,COMMON.COLOR_BLACK,54779043.0,99000.0,MAZDA,27.0,MX5,237.0,Málaga,29.0,21890.0,MAZDA MX5 1.5 97kW 132CV Nappa Edition ST 2p.,COMMON.TRANSMISSION_MANUAL,2.0,2019.0,profesional,1.0,cabrio,3.0,1496.0,2.0,132.0,https://www.coches.net/mazda-mx5-15-97kw-132cv-nappa-edition-st-2p-gasolina-2019-en-malaga-54779043-covo.aspx,2023-04-12 20:13:00
1768,Híbrido,4.0,COMMON.COLOR_GRAY,54777740.0,15000.0,MAZDA,27.0,CX-30,1285.0,Valencia,46.0,25500.0,MAZDA CX-30 eSKYACTIVG 2.0 90 kW 2WD Zenith 5p.,COMMON.TRANSMISSION_MANUAL,2.0,2021.0,particular,2.0,4x4 suv,6.0,1998.0,5.0,122.0,https://www.coches.net/mazda-cx30-eskyactivg-20-90-kw-2wd-zenith-5p-electrico-hibrido-2021-en-valencia-54777740-covo.aspx,2023-04-12 20:13:02
1769,Diésel,1.0,COMMON.COLOR_RED,54777779.0,126500.0,MAZDA,27.0,CX5,1016.0,Córdoba,14.0,19000.0,MAZDA CX5 2.2 DE 110kW 150cv Evolution 2WD 5p.,COMMON.TRANSMISSION_MANUAL,2.0,2017.0,particular,2.0,4x4 suv,6.0,2191.0,5.0,150.0,https://www.coches.net/mazda-cx5-22-de-110kw-150cv-evolution-2wd-5p-diesel-2017-en-cordoba-54777779-covo.aspx,2023-04-12 20:13:03
1770,Gasolina,2.0,COMMON.COLOR_RED,54777026.0,87000.0,MAZDA,27.0,CX3,1140.0,Lugo,27.0,15000.0,MAZDA CX3 2.0 SKY GE iEl Lux Wh Trav 4WD AT 5p.,COMMON.TRANSMISSION_MANUAL,2.0,2017.0,particular,2.0,4x4 suv,6.0,1998.0,5.0,150.0,https://www.coches.net/mazda-cx3-20-sky-ge-iel-lux-wh-trav-4wd-at-5p-gasolina-2017-en-lugo-54777026-covo.aspx,2023-04-12 20:13:06
1771,Gasolina,2.0,COMMON.COLOR_WHITE,54726737.0,49000.0,MAZDA,27.0,Mazda2,505.0,Las Palmas,35.0,10990.0,MAZDA Mazda2 1.5 GE 55kW 75CV Style 5p.,COMMON.TRANSMISSION_MANUAL,2.0,2017.0,profesional,1.0,berlina,1.0,1496.0,5.0,75.0,https://www.coches.net/mazda-mazda2-15-ge-55kw-75cv-style-5p-gasolina-2018-en-las_palmas-54726737-covo.aspx,2023-04-12 20:13:07
1772,Diésel,1.0,COMMON.COLOR_WHITE,54777012.0,150000.0,MAZDA,27.0,CX5,1016.0,Málaga,29.0,15000.0,MAZDA CX5 2.2 110kW 150CV DE 2WD Style 5p.,COMMON.TRANSMISSION_MANUAL,2.0,2015.0,particular,2.0,4x4 suv,6.0,2191.0,5.0,150.0,https://www.coches.net/mazda-cx5-22-110kw-150cv-de-2wd-style-5p-diesel-2015-en-malaga-54777012-covo.aspx,2023-04-12 20:13:09
